"","survey","location_name","species","n_tl","n_healthy"
"234","May 2022","CBC Lagoon","Mycetophyllia spp.",0,0
"235","May 2022","CBC Lagoon","Orbicella spp.",3,6
"236","May 2022","CBC Lagoon","Porites astreoides",0,68
"237","May 2022","CBC Lagoon","Porites porites",0,18
"238","May 2022","CBC Lagoon","Pseudodiploria clivosa",0,0
"239","May 2022","CBC Lagoon","Pseudodiploria strigosa",0,0
"240","May 2022","CBC Lagoon","Scolymia cubensis",0,0
"241","May 2022","CBC Lagoon","Siderastrea radians",0,7
"242","May 2022","CBC Lagoon","Siderastrea siderea",9,15
"243","May 2022","CBC Lagoon","Stephanocoenia intersepta",1,2
"244","May 2022","CBC30N","Acropora cervicornis",0,0
"245","May 2022","CBC30N","Agaricia agaricites",0,46
"246","May 2022","CBC30N","Agaricia lamarckiana",0,0
"247","May 2022","CBC30N","Agaricia tenuifolia",2,19
"248","May 2022","CBC30N","Colpophyllia natans",0,0
"249","May 2022","CBC30N","Dendrogyra cylindrus",0,0
"250","May 2022","CBC30N","Dichocoenia stokesii",0,0
"251","May 2022","CBC30N","Diploria labyrinthiformis",0,0
"252","May 2022","CBC30N","Eusmilia fastigiata",0,0
"253","May 2022","CBC30N","Favia fragum",0,0
"254","May 2022","CBC30N","Helioseris cucullata",0,0
"255","May 2022","CBC30N","Isophyllia rigida",0,0
"256","May 2022","CBC30N","Isophyllia sinuosa",0,0
"257","May 2022","CBC30N","Madracis decactis",0,3
"258","May 2022","CBC30N","Meandrina meandrites",0,0
"259","May 2022","CBC30N","Montastraea cavernosa",0,3
"260","May 2022","CBC30N","Mycetophyllia aliciae",0,0
"261","May 2022","CBC30N","Mycetophyllia spp.",0,0
"262","May 2022","CBC30N","Orbicella spp.",0,0
"263","May 2022","CBC30N","Porites astreoides",2,67
"264","May 2022","CBC30N","Porites porites",0,8
"265","May 2022","CBC30N","Pseudodiploria clivosa",0,0
"266","May 2022","CBC30N","Pseudodiploria strigosa",1,1
"267","May 2022","CBC30N","Scolymia cubensis",0,0
"268","May 2022","CBC30N","Siderastrea radians",0,3
"269","May 2022","CBC30N","Siderastrea siderea",4,22
"270","May 2022","CBC30N","Stephanocoenia intersepta",0,3
"271","May 2022","Curlew Patch","Acropora cervicornis",0,0
"272","May 2022","Curlew Patch","Agaricia agaricites",0,27
"273","May 2022","Curlew Patch","Agaricia lamarckiana",0,0
"274","May 2022","Curlew Patch","Agaricia tenuifolia",0,22
"275","May 2022","Curlew Patch","Colpophyllia natans",0,0
"276","May 2022","Curlew Patch","Dendrogyra cylindrus",0,0
"277","May 2022","Curlew Patch","Dichocoenia stokesii",0,1
"278","May 2022","Curlew Patch","Diploria labyrinthiformis",0,0
"279","May 2022","Curlew Patch","Eusmilia fastigiata",0,0
"280","May 2022","Curlew Patch","Favia fragum",0,0
"281","May 2022","Curlew Patch","Helioseris cucullata",0,0
"282","May 2022","Curlew Patch","Isophyllia rigida",0,0
"283","May 2022","Curlew Patch","Isophyllia sinuosa",0,0
"284","May 2022","Curlew Patch","Madracis decactis",0,0
"285","May 2022","Curlew Patch","Meandrina meandrites",0,0
"286","May 2022","Curlew Patch","Montastraea cavernosa",2,10
"287","May 2022","Curlew Patch","Mycetophyllia aliciae",0,0
"288","May 2022","Curlew Patch","Mycetophyllia spp.",0,0
"289","May 2022","Curlew Patch","Orbicella spp.",1,6
"290","May 2022","Curlew Patch","Porites astreoides",1,19
"291","May 2022","Curlew Patch","Porites porites",0,13
"292","May 2022","Curlew Patch","Pseudodiploria clivosa",0,0
"293","May 2022","Curlew Patch","Pseudodiploria strigosa",0,0
"294","May 2022","Curlew Patch","Scolymia cubensis",0,0
"295","May 2022","Curlew Patch","Siderastrea radians",0,4
"296","May 2022","Curlew Patch","Siderastrea siderea",6,19
"297","May 2022","Curlew Patch","Stephanocoenia intersepta",0,2
"298","May 2022","House Reef","Acropora cervicornis",0,0
"299","May 2022","House Reef","Agaricia agaricites",0,23
"300","May 2022","House Reef","Agaricia lamarckiana",0,0
"301","May 2022","House Reef","Agaricia tenuifolia",0,7
"302","May 2022","House Reef","Colpophyllia natans",0,0
"303","May 2022","House Reef","Dendrogyra cylindrus",0,0
"304","May 2022","House Reef","Dichocoenia stokesii",0,0
"305","May 2022","House Reef","Diploria labyrinthiformis",1,1
"306","May 2022","House Reef","Eusmilia fastigiata",0,0
"307","May 2022","House Reef","Favia fragum",0,0
"308","May 2022","House Reef","Helioseris cucullata",0,0
"309","May 2022","House Reef","Isophyllia rigida",0,0
"310","May 2022","House Reef","Isophyllia sinuosa",0,1
"311","May 2022","House Reef","Madracis decactis",0,0
"312","May 2022","House Reef","Meandrina meandrites",0,0
"313","May 2022","House Reef","Montastraea cavernosa",0,0
"314","May 2022","House Reef","Mycetophyllia aliciae",0,0
"315","May 2022","House Reef","Mycetophyllia spp.",0,0
"316","May 2022","House Reef","Orbicella spp.",2,14
"317","May 2022","House Reef","Porites astreoides",0,5
